state,siteid,recreation_status,county_name
CA,Rx_18T,non_recreation,Siskiyou
CA,Rx_19T,non_recreation,Siskiyou
CA,Rx_20T,non_recreation,Siskiyou
CA,Rx_22T,non_recreation,Siskiyou
CA,Rx_23T,non_recreation,Siskiyou
CA,Rx_25T,non_recreation,Siskiyou
CA,Rx_26C,non_recreation,Siskiyou
CA,Rx_27C,non_recreation,Siskiyou
CA,Rx_32C,non_recreation,Siskiyou
CA,Rx_34C,non_recreation,Siskiyou
CA,Rx_3C,non_recreation,Siskiyou
CA,Rx_41C,non_recreation,Siskiyou
CA,Wf_0C,non_recreation,Siskiyou
CA,Wf_106T,non_recreation,Siskiyou
CA,Wf_10C,non_recreation,Siskiyou
CA,Wf_130T,non_recreation,Siskiyou
CA,Wf_142T,non_recreation,Siskiyou
CA,Wf_145T,non_recreation,Siskiyou
CA,Wf_156T,non_recreation,Siskiyou
CA,Wf_16C,non_recreation,Siskiyou
CA,Wf_25T,non_recreation,Siskiyou
CA,Wf_32C,non_recreation,Siskiyou
CA,Wf_36T,non_recreation,Siskiyou
CA,Wf_3C,non_recreation,Siskiyou
CA,Wf_40T,non_recreation,Siskiyou
CA,Wf_49T,non_recreation,Siskiyou
CA,Wf_54T,non_recreation,Siskiyou
CA,Wf_55C,non_recreation,Siskiyou
CA,Wf_56C,non_recreation,Siskiyou
CA,Wf_5C,non_recreation,Siskiyou
CA,Wf_60T,non_recreation,Siskiyou
CA,Wf_62T,non_recreation,Siskiyou
CA,Wf_65C,non_recreation,Siskiyou
CA,Wf_79T,non_recreation,Siskiyou
CA,Wf_7T,non_recreation,Siskiyou
CA,Wf_84T,non_recreation,Siskiyou
CA,Wf_86T,non_recreation,Siskiyou
CA,Wf_88T,non_recreation,Siskiyou
CA,Wf_95T,non_recreation,Siskiyou
CA,Wf_98C,non_recreation,Siskiyou
CA,Wf_111T,non_recreation,Solano
CA,Wf_150T,high_recreation,Sonoma
CA,Wf_87T,high_recreation,Sonoma
CA,Rx_35C,non_recreation,Tehama
CA,Wf_44C,non_recreation,Tehama
CA,Wf_49C,non_recreation,Tehama
CA,Wf_85T,non_recreation,Tehama
CA,Rx_35T,high_recreation,Trinity
CA,Rx_36T,high_recreation,Trinity
CA,Rx_37C,high_recreation,Trinity
CA,Wf_102C,high_recreation,Trinity
CA,Wf_113C,high_recreation,Trinity
CA,Wf_33C,high_recreation,Trinity
CA,Wf_39T,high_recreation,Trinity
CA,Wf_58C,high_recreation,Trinity
CA,Wf_61T,high_recreation,Trinity
CA,Wf_73C,high_recreation,Trinity
CA,Wf_92T,high_recreation,Trinity
CA,Wf_9T,high_recreation,Trinity
CA,Wf_110C,non_recreation,Tulare
CA,Wf_112C,non_recreation,Tulare
CA,Wf_113T,non_recreation,Tulare
CA,Wf_114C,non_recreation,Tulare
CA,Wf_116T,non_recreation,Tulare
CA,Wf_119T,non_recreation,Tulare
CA,Wf_122C,non_recreation,Tulare
CA,Wf_124C,non_recreation,Tulare
CA,Wf_12C,non_recreation,Tulare
CA,Wf_137C,non_recreation,Tulare
CA,Wf_140T,non_recreation,Tulare
CA,Wf_149T,non_recreation,Tulare
CA,Wf_153T,non_recreation,Tulare
CA,Wf_20C,non_recreation,Tulare
CA,Wf_28T,non_recreation,Tulare
CA,Wf_58T,non_recreation,Tulare
CA,Wf_59C,non_recreation,Tulare
CA,Wf_76T,non_recreation,Tulare
CA,Wf_93T,non_recreation,Tulare
CA,Wf_95C,non_recreation,Tulare
CA,Wf_97T,non_recreation,Tulare
CA,Rx_12T,high_recreation,Tuolumne
CA,Rx_13T,high_recreation,Tuolumne
CA,Rx_17T,high_recreation,Tuolumne
CA,Wf_112T,high_recreation,Tuolumne
CA,Wf_121T,high_recreation,Tuolumne
CA,Wf_134C,high_recreation,Tuolumne
CA,Wf_135C,high_recreation,Tuolumne
CA,Wf_138T,high_recreation,Tuolumne
CA,Wf_13T,high_recreation,Tuolumne
CA,Wf_144T,high_recreation,Tuolumne
CA,Wf_154T,high_recreation,Tuolumne
CA,Wf_19T,high_recreation,Tuolumne
CA,Wf_74C,high_recreation,Tuolumne
CA,Wf_90T,high_recreation,Tuolumne
CA,Wf_120C,non_recreation,Ventura
CA,Wf_135T,non_recreation,Ventura
CA,Wf_68T,non_recreation,Ventura
CO,847,high_recreation,Adams
CO,843,non_recreation,Arapahoe
CO,447,high_recreation,Archuleta
CO,778,non_recreation,Baca
CO,779,non_recreation,Baca
CO,801,non_recreation,Baca
CO,838,non_recreation,Baca
CO,814,non_recreation,Bent
CO,818,non_recreation,Bent
CO,829,non_recreation,Bent
CO,830,non_recreation,Bent
CO,743,non_recreation,Boulder
CO,819,non_recreation,Boulder
CO,835,non_recreation,Boulder
CO,767,high_recreation,Chaffee
CO,768,high_recreation,Chaffee
CO,265,non_recreation,Cheyenne
CO,62,high_recreation,Clear Creek
CO,670,high_recreation,Clear Creek
CO,642,non_recreation,Conejos
CO,588,high_recreation,Delta
CO,664,high_recreation,Dolores
CO,17,high_recreation,Douglas
CO,756,high_recreation,Douglas
CO,807,high_recreation,Douglas
CO,428,high_recreation,Eagle
CO,592,high_recreation,Eagle
CO,761,high_recreation,Eagle
CO,763,high_recreation,Eagle
CO,765,high_recreation,Eagle
CO,766,high_recreation,Eagle
CO,798,high_recreation,Eagle
CO,799,high_recreation,Eagle
CO,850,high_recreation,Eagle
CO,266,non_recreation,Elbert
CO,735,non_recreation,Elbert
CO,844,non_recreation,El Paso
CO,845,non_recreation,El Paso
CO,846,non_recreation,El Paso
CO,472,non_recreation,Fremont
CO,490,high_recreation,Garfield
CO,586,high_recreation,Garfield
CO,606,high_recreation,Garfield
CO,640,high_recreation,Garfield
CO,658,high_recreation,Garfield
CO,716,high_recreation,Garfield
CO,749,high_recreation,Garfield
CO,831,high_recreation,Garfield
CO,842,high_recreation,Garfield
CO,827,high_recreation,Grand
CO,855,high_recreation,Grand
CO,599,high_recreation,Gunnison
CO,759,high_recreation,Gunnison
CO,834,high_recreation,Gunnison
CO,652,high_recreation,Huerfano
CO,654,high_recreation,Huerfano
CO,731,high_recreation,Huerfano
CO,737,high_recreation,Huerfano
CO,840,high_recreation,Jackson
CO,454,non_recreation,Kiowa
CO,832,non_recreation,Kiowa
CO,14,non_recreation,Kit Carson
CO,264,non_recreation,Kit Carson
CO,587,non_recreation,Kit Carson
CO,736,non_recreation,Kit Carson
CO,461,high_recreation,La Plata
CO,825,high_recreation,La Plata
CO,434,high_recreation,Larimer
CO,456,high_recreation,Larimer
CO,571,high_recreation,Larimer
CO,575,high_recreation,Larimer
CO,619,high_recreation,Larimer
CO,623,high_recreation,Larimer
CO,719,high_recreation,Larimer
CO,773,high_recreation,Larimer
